Score	Distance
15.28	1172
16.1	96
13.39	55
12.92	505
14.94	-85
14.48	3052
13.59	147
13.44	3415
12.91	2792
13.65	3800
14.53	595
12.98	1738
13.72	568
13.05	1143
13.66	43
13.08	982
14.76	3303
13.66	142
13.44	96
13.73	160
13.85	110
15.61	448
13.66	1037
13.66	735
13.59	129
12.98	3876
15.28	320
14.13	3750
12.98	789
13.49	750
14.67	748
15.54	73
13.72	750
13.49	3511
13.33	16
12.92	3926
14.26	4663
15.05	2714
13.07	56
13.95	3806
13.22	2552
14.68	-181
13.58	4159
14.93	2787
13.73	147
12.92	215
14.21	16
14.07	1693
15.49	93
12.91	156
14.15	841
13.07	516
15.21	1147
13.51	1095
13.05	3612
13.41	314
15.08	4016
13.58	156
15.36	142
13.4	2411
14.31	1020
13.8	2942
13.39	2754
14.22	332
12.92	1542
16.7	239
15.54	310
13.49	1603
14.08	3342
14.67	332
13.66	300
13.05	313
13.4	4973
12.92	1078
14.68	1321
13.44	1770
13.66	1756
13.11	247
13.66	101
14.36	3060
13.33	205
13.8	1488
13.39	2820
13.46	2805
13.93	185
13.17	2573
13.1	594
14.76	3148
13.45	1459
14.67	4824
13.77	103
14.14	1407
13.39	137
13.09	1819
13.18	1086
15.05	417
13.63	229
15.96	2300
14.67	39
13.49	28
12.92	26
14.44	7
14.0	112
14.32	1060
14.8	-10
12.92	3493
14.94	3551
13.29	1182
12.92	1912
13.85	1152
14.14	367
13.47	1970
13.37	29
13.51	809
13.39	232
12.94	756
12.91	180
13.66	659
13.37	141
13.24	901
13.49	2315
14.48	487
15.36	2905
14.79	4074
13.73	4638
13.19	-196
14.18	591
13.47	4398
14.61	841
13.4	3547
15.69	546
13.48	-49
16.82	110
13.17	222
13.93	2232
13.66	1250
13.52	195
15.54	2398
13.09	2542
15.3	208
13.39	1729
13.51	574
14.02	-60
13.65	303
13.06	4420
14.58	17
13.04	386
14.26	3957
13.59	1377
13.8	436
14.01	3104
13.17	819
14.34	803
15.05	666
12.96	2694
15.3	2101
13.72	1200
13.32	762
13.77	275
13.44	3693
13.58	1906
13.11	106
13.46	4133
15.35	2987
12.98	4270
12.92	389
13.46	1768
13.13	4397
12.98	3491
13.72	202
12.92	200
13.49	124
13.59	114
13.66	270
13.66	3358
14.35	431
15.69	3473
15.61	1007
13.54	139
13.66	1410
13.48	1320
12.92	77
13.72	67
13.39	57
15.35	331
13.59	144
12.92	269
12.98	180
13.51	345
13.41	787
15.35	2243
12.92	172
13.41	885
13.9	1657
14.22	399
12.98	324
13.86	1602
13.66	116
13.66	75
13.59	2900
14.45	3808
14.75	3564
13.59	288
13.95	2660
13.33	94
14.48	2070
14.13	1513
13.58	116
13.49	101
13.66	95
13.36	1606
14.48	3135
15.35	2913
14.75	4071
13.03	652
13.8	38
13.1	3140
13.51	955
14.38	693
13.51	2583
13.66	2659
13.66	2637
13.59	819
13.86	2973
12.92	2971
13.86	39
13.48	3467
13.46	109
14.63	227
12.92	2332
14.0	3177
13.66	1685
13.51	3581
13.66	1234
14.89	1250
13.66	2566
13.49	283
13.47	94
13.46	106
14.52	2087
13.17	181
13.45	3488
16.56	300
13.86	269
14.07	615
13.37	4513
13.2	431
13.28	4243
13.72	3932
14.86	133
14.26	1710
13.24	2452
14.57	361
14.93	131
13.86	1126
13.66	1104
13.66	3906
13.44	3896
13.66	3208
15.42	744
13.59	2342
14.0	425
13.27	1623
12.96	2881
13.6	1678
13.59	1635
13.64	1334
12.98	211
12.92	1902
14.26	2904
12.97	273
13.46	120
14.05	99
13.46	737
12.92	153
13.37	131
13.41	2247
13.3	329
13.1	3971
16.63	405
13.77	4582
14.32	3561
13.72	726
14.28	270
14.8	387
13.95	2211
14.27	1933
15.69	419
13.13	215
13.57	464
12.92	174
14.48	917
13.59	941
13.38	203
13.66	1220
12.97	-26
14.41	4094
13.08	1756
13.45	2310
14.27	949
12.93	2494
14.76	3877
15.39	264
13.66	211
14.66	208
14.55	-117
13.46	694
14.27	374
12.95	1524
14.45	1170
13.13	2693
13.46	224
13.16	4252
12.92	1945
17.19	1515
15.69	4984
13.59	2187
15.39	1002
14.53	3756
13.32	102
13.08	433
13.72	3029
12.92	4462
13.4	3659
14.14	1701
13.71	-37
12.92	12
13.1	342
13.51	325
14.8	1598
13.46	138
13.7	1015
13.72	2700
13.51	83
13.18	4374
13.64	725
13.85	113
13.47	2471
14.67	215
13.24	3744
13.71	747
13.06	743
13.68	629
13.21	2341
13.29	302
13.37	635
15.96	148
13.51	252
13.54	605
13.66	1212
15.16	638
13.73	2372
13.44	2725
13.66	1660
13.44	1330
14.31	85
12.92	1521
12.98	2708
13.85	318
14.75	2699
12.92	4996
13.05	4065
13.34	545
13.34	151
12.92	332
13.06	282
13.13	400
13.72	4685
12.92	373
14.89	121
13.78	3155
13.8	1950
13.47	3839
13.24	2755
12.96	1221
16.56	763
13.97	4300
13.44	271
14.75	276
13.23	969
13.33	1202
13.59	4785
15.36	1387
14.45	90
14.08	1385
14.57	283
13.16	4147
13.3	2219
12.92	2187
13.59	4128
12.92	1829
12.93	82
13.38	328
13.44	241
15.62	86
13.39	2754
14.48	2299
13.46	3213
14.13	3366
13.44	230
13.37	3669
14.13	472
13.66	163
15.01	254
13.72	2182
14.02	366
13.59	94
14.67	1503
14.75	670
14.12	160
13.52	2465
13.39	1787
13.33	1769
13.45	381
13.59	2718
14.86	145
15.54	937
13.66	780
13.66	2875
13.32	1088
15.39	100
15.69	21
13.73	2266
13.04	2541
